User: BMG_USER,Path: C:\Users\shared\BMG_USER_WORK_DIR\Data,Test run no.: 2794
Test name: dCas9_sg_plate384,Date: 04.05.2024,Time: 20:02:52

Fluorescence polarization (FP)

Cycle 10 (57 min 27 s)
1. Raw Data (parallel)

J,5455,5325,5385,5554,5252,5142,5219,5051,5090,23987,453,,,,,,,,,,,,,
K,5455,5361,5476,5537,5310,5132,5163,5152,5171,24197,448,,,,,,,,,,,,,
L,5078,5261,5623,5452,5217,5166,5127,4951,5009,23856,468,,,,,,,,,,,,,
M,5071,5813,5770,5665,5510,5716,5434,5554,5336,23547,496,,,,,,,,,,,,,
N,5758,5898,5676,5630,5265,5569,5138,5392,5333,23935,458,,,,,,,,,,,,,
O,4870,5893,5526,5547,5219,5300,5311,5010,5181,22744,440,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 6 (31 min 55 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,5411,5058,5586,5053,5091,4853,4637,4790,4767,23603,1055,,,,,,,,,,,,,
B,5420,5255,5200,5392,5249,5003,5053,4911,5049,24627,1127,,,,,,,,,,,,,
C,5202,4734,5544,5680,5203,4949,4799,5102,5008,25033,1164,,,,,,,,,,,,,
D,7348,7436,7936,7454,7212,7172,7075,6993,5972,25946,1128,,,,,,,,,,,,,
E,7455,7670,7161,7599,7045,7231,7021,6939,7046,26031,1098,,,,,,,,,,,,,
F,7062,7784,7740,7502,6779,6989,6946,6849,6457,25618,1068,,,,,,,,,,,,,
G,7439,7497,7679,6939,7084,6690,6585,6700,6675,25371,1197,,,,,,,,,,,,,
H,7412,7299,7225,7364,6777,6901,6820,6632,6779,25430,1155,,,,,,,,,,,,,
I,6770,7378,6742,6570,5927,6537,6086,6835,6473,26018,1170,,,,,,,,,,,,,
J,7398,7333,7297,7376,7311,6955,7241,7098,7013,25575,1142,,,,,,,,,,,,,
K,7312,7347,7584,7678,7163,7088,7144,7036,7278,25996,1111,,,,,,,,,,,,,
L,6796,7237,7804,7589,7153,7055,7108,6946,6895,25792,1162,,,,,,,,,,,,,
M,6679,7832,7903,7722,7578,7676,7622,7536,7508,25572,1063,,,,,,,,,,,,,
N,7802,8014,7700,7641,7226,7672,7208,7367,7216,25832,1103,,,,,,,,,,,,,
O,6469,7975,7449,7587,7235,7460,7218,6996,7191,24529,1101,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,3926,3822,4227,3725,3577,3564,3279,3556,3510,22114,476,,,,,,,,,,,,,
B,4019,3890,3867,3905,3821,3622,3609,3605,3652,23409,461,,,,,,,,,,,,,
C,3788,3535,4245,4172,3760,3698,3487,3603,3741,23571,470,,,,,,,,,,,,,
D,5617,5658,5861,5540,5275,5296,5139,4967,4401,24488,440,,,,,,,,,,,,,
E,5733,5755,5525,5651,5362,5356,5182,5131,5086,24308,448,,,,,,,,,,,,,
F,5517,5813,5820,5730,5078,5347,5190,4998,4767,23993,441,,,,,,,,,,,,,
G,4481,4518,4741,4505,4655,4735,4741,4732,4940,24380,458,,,,,,,,,,,,,
H,4534,4442,4473,4697,4617,4726,4773,4658,4900,24046,465,,,,,,,,,,,,,
I,4114,4537,4181,4236,4003,4618,4355,4831,4833,24374,474,,,,,,,,,,,,,
J,5484,5480,5405,5523,5330,5141,5083,5035,5072,24231,436,,,,,,,,,,,,,
K,5464,5355,5491,5696,5282,5146,5186,5081,5078,24100,438,,,,,,,,,,,,,
L,5025,5271,5628,5397,5239,5181,5080,4957,5034,23825,451,,,,,,,,,,,,,
M,5104,5906,5788,5777,5578,5638,5534,5505,5399,23532,475,,,,,,,,,,,,,
N,5709,5982,5711,5671,5438,5564,5242,5342,5321,24074,459,,,,,,,,,,,,,
O,4832,5809,5534,5530,5335,5382,5226,5018,5199,22964,451,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 5 (25 min 32 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,5410,5108,5714,5044,4933,4893,4624,4862,4796,23177,1059,,,,,,,,,,,,,
B,5395,5301,5180,5444,5266,5067,5058,4871,5032,24620,1165,,,,,,,,,,,,,
C,5132,4813,5562,5632,5266,5011,4712,4975,5145,24710,1185,,,,,,,,,,,,,
D,7488,7678,7791,7374,7316,7091,7031,6890,5953,26221,1118,,,,,,,,,,,,,
E,7477,7655,7232,7634,7194,7294,7062,6796,6853,25882,1233,,,,,,,,,,,,,
F,7046,8012,7739,7668,6883,7149,7224,6858,6565,25364,1129,,,,,,,,,,,,,
G,7530,7486,7675,6994,7256,6757,6706,6567,6687,25600,1266,,,,,,,,,,,,,
H,7379,7363,7302,7350,6843,6811,6748,6481,6816,25357,1232,,,,,,,,,,,,,
I,6691,7491,6797,6646,5843,6604,6211,6737,6527,25874,1178,,,,,,,,,,,,,
J,7445,7211,7298,7479,7338,7263,7077,6939,7214,25509,1148,,,,,,,,,,,,,
K,7347,7345,7689,7637,7308,7118,7219,6999,7261,25997,1198,,,,,,,,,,,,,
L,6860,7383,7679,7540,7219,6900,7120,7084,7031,25796,1154,,,,,,,,,,,,,
M,6861,7927,7814,7895,7788,8076,7611,7605,7514,25298,1184,,,,,,,,,,,,,
N,7894,8089,7788,7669,7309,7717,7177,7552,7401,26053,1140,,,,,,,,,,,,,
O,6535,7845,7564,7736,7341,7490,7251,6951,7187,24708,1106,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,4006,3785,4148,3723,3600,3560,3371,3530,3477,22296,459,,,,,,,,,,,,,
B,3954,3915,3859,3909,3807,3642,3573,3585,3677,23436,458,,,,,,,,,,,,,
C,3813,3537,4178,4141,3840,3637,3527,3661,3694,23725,455,,,,,,,,,,,,,
D,5626,5776,5884,5523,5235,5214,5146,4958,4420,24582,462,,,,,,,,,,,,,
E,5713,5665,5488,5709,5418,5403,5183,5153,5026,24453,458,,,,,,,,,,,,,
F,5511,5849,5839,5671,5117,5251,5147,4970,4837,23956,480,,,,,,,,,,,,,
G,4561,4542,4713,4513,4693,4747,4798,4722,4977,24369,469,,,,,,,,,,,,,
H,4555,4431,4515,4608,4641,4789,4866,4668,4869,24011,472,,,,,,,,,,,,,
I,4096,4558,4221,4167,4028,4543,4364,4836,4820,24317,449,,,,,,,,,,,,,
J,5513,5477,5280,5502,5329,5184,5229,5101,5121,24207,445,,,,,,,,,,,,,
K,5516,5387,5515,5679,5213,5119,5270,5115,5169,24360,443,,,,,,,,,,,,,
L,5033,5283,5594,5465,5297,5192,5085,5009,5132,23795,434,,,,,,,,,,,,,
M,5126,5887,5860,5792,5544,5641,5525,5470,5560,23908,477,,,,,,,,,,,,,
N,5823,5928,5767,5678,5340,5620,5249,5474,5281,24044,471,,,,,,,,,,,,,
O,4863,5862,5542,5614,5310,5494,5343,5020,5229,23222,469,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 4 (19 min 9 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,5298,5106,5630,5041,4934,4871,4507,4878,4758,23125,1111,,,,,,,,,,,,,
B,5273,5339,5364,5447,5255,4988,5079,5012,5057,24876,1213,,,,,,,,,,,,,
C,5136,4745,5592,5700,5237,5146,4921,5092,5151,24970,1212,,,,,,,,,,,,,
D,7380,7412,7857,7486,7091,7313,7084,6947,5965,26031,1198,,,,,,,,,,,,,
E,7585,7563,7190,7615,7316,7309,7123,6992,6871,25721,1233,,,,,,,,,,,,,
F,7075,7964,7811,7583,6853,7324,7016,6881,6556,25348,1228,,,,,,,,,,,,,
G,7564,7600,7687,7148,7225,6835,6627,6589,6632,25783,1246,,,,,,,,,,,,,
H,7393,7279,7369,7456,6924,6925,6797,6630,6751,25901,1177,,,,,,,,,,,,,
I,6824,7489,6617,6550,5965,6665,6120,6873,6656,25777,1145,,,,,,,,,,,,,
J,7454,7222,7355,7701,7459,7344,7153,7017,7134,25901,1180,,,,,,,,,,,,,
K,7347,7514,7748,7796,7328,7124,7200,7080,7286,26076,1203,,,,,,,,,,,,,
L,6834,7348,7665,7551,7339,7324,7178,7085,7374,25750,1152,,,,,,,,,,,,,
M,6886,7965,7917,7791,7645,7951,7546,7581,7316,25604,1161,,,,,,,,,,,,,
N,7886,8061,7811,7691,7305,8017,7382,7436,7416,25991,1139,,,,,,,,,,,,,
O,6495,7909,7632,7617,7309,7662,7281,7169,7104,24820,1142,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,3911,3812,4235,3755,3571,3559,3368,3521,3523,22311,492,,,,,,,,,,,,,
B,3999,3998,3902,3931,3810,3522,3576,3628,3686,23648,487,,,,,,,,,,,,,
C,3850,3602,4215,4189,3772,3641,3487,3680,3723,23657,454,,,,,,,,,,,,,
D,5714,5777,5828,5540,5243,5246,5077,4944,4307,24484,486,,,,,,,,,,,,,
E,5709,5770,5507,5726,5336,5404,5201,5193,5098,24544,462,,,,,,,,,,,,,
F,5500,5895,5834,5754,5035,5340,5216,5068,4772,23964,479,,,,,,,,,,,,,
G,4658,4640,4711,4578,4819,4779,4725,4730,5066,24341,456,,,,,,,,,,,,,
H,4548,4449,4457,4690,4607,4758,4804,4755,4883,24027,478,,,,,,,,,,,,,
I,4174,4444,4250,4140,3977,4655,4350,4800,4871,24298,487,,,,,,,,,,,,,
J,5422,5456,5393,5511,5419,5221,5131,5115,5095,24078,475,,,,,,,,,,,,,
K,5529,5451,5606,5571,5210,5137,5171,5208,5235,24092,477,,,,,,,,,,,,,
L,5113,5390,5683,5470,5200,5185,5106,5080,5026,23931,465,,,,,,,,,,,,,
M,5142,6011,5805,5785,5628,5714,5526,5549,5481,23929,527,,,,,,,,,,,,,
N,5814,6028,5764,5716,5396,5724,5297,5444,5402,24167,477,,,,,,,,,,,,,
O,4915,5899,5676,5794,5412,5379,5455,5110,5224,23248,461,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 3 (12 min 46 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,5439,5249,5773,4990,5064,4802,4582,4843,4898,23542,1128,,,,,,,,,,,,,
B,5362,5315,5286,5447,5207,4844,5093,5082,5215,25030,1216,,,,,,,,,,,,,
C,5069,4859,5640,5561,5194,5017,4848,4900,5111,24920,1278,,,,,,,,,,,,,
D,7590,7524,8115,7624,7320,7069,7088,6790,6055,25992,1171,,,,,,,,,,,,,
E,7727,7622,7226,7674,7313,7366,7162,6968,6913,25865,1202,,,,,,,,,,,,,
F,7182,7771,7824,7656,6901,7158,6957,6774,6510,25381,1258,,,,,,,,,,,,,
G,7543,7513,7753,7223,7343,6817,6678,6777,6937,25741,1340,,,,,,,,,,,,,
H,7748,7466,7455,7375,6807,6806,6787,6604,6729,25575,1288,,,,,,,,,,,,,
I,6670,7568,6743,6650,5749,6735,6046,6561,6619,25739,1268,,,,,,,,,,,,,
J,7365,7453,7430,7562,7501,7154,7170,7035,7064,25631,1255,,,,,,,,,,,,,
K,7497,7544,7624,7797,7375,7174,7213,7095,7200,25973,1157,,,,,,,,,,,,,
L,6897,7342,7828,7719,7321,7433,7013,7012,7231,25709,1230,,,,,,,,,,,,,
M,6865,8120,7861,7884,7587,7955,7648,7632,7569,25566,1197,,,,,,,,,,,,,
N,7881,8134,7794,7806,7395,7797,7212,7566,7457,26285,1196,,,,,,,,,,,,,
O,6510,7992,7707,7538,7278,7751,7491,7010,7246,25122,1157,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,3991,3913,4242,3718,3599,3616,3363,3532,3494,22510,485,,,,,,,,,,,,,
B,4001,3963,3868,3958,3758,3584,3648,3577,3679,23717,464,,,,,,,,,,,,,
C,3771,3647,4202,4173,3838,3609,3516,3627,3687,23748,487,,,,,,,,,,,,,
D,5709,5688,5865,5680,5284,5325,5141,5061,4451,24605,465,,,,,,,,,,,,,
E,5759,5699,5508,5734,5333,5422,5190,5149,5079,24522,488,,,,,,,,,,,,,
F,5626,5952,5830,5803,4986,5401,5212,5111,4810,24156,469,,,,,,,,,,,,,
G,4630,4636,4821,4472,4752,4749,4788,4876,5049,24492,481,,,,,,,,,,,,,
H,4628,4432,4508,4682,4559,4844,4876,4740,4961,24116,480,,,,,,,,,,,,,
I,4090,4530,4292,4263,4004,4575,4328,4922,4891,24380,481,,,,,,,,,,,,,
J,5488,5442,5387,5586,5408,5246,5204,5085,5048,24252,468,,,,,,,,,,,,,
K,5554,5423,5610,5650,5316,5215,5178,5145,5143,24275,474,,,,,,,,,,,,,
L,5114,5335,5595,5506,5220,5157,5137,5024,5076,24136,464,,,,,,,,,,,,,
M,5139,6059,5768,5817,5652,5744,5574,5562,5432,23967,483,,,,,,,,,,,,,
N,5847,6058,5751,5689,5468,5666,5318,5439,5361,24346,469,,,,,,,,,,,,,
O,5047,5877,5651,5754,5347,5499,5417,5173,5252,23232,499,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 2 (6 min 23 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,5509,5223,5740,4927,5045,4921,4651,4843,4861,23874,1124,,,,,,,,,,,,,
B,5583,5442,5261,5420,5255,5049,4998,4983,4978,24780,1206,,,,,,,,,,,,,
C,5290,4840,5612,5761,5186,5049,4834,5118,5164,24978,1247,,,,,,,,,,,,,
D,7611,7650,8063,7531,7091,7309,7001,6730,5987,26526,1264,,,,,,,,,,,,,
E,7579,7705,7234,7753,7352,7364,7142,7098,6943,25842,1269,,,,,,,,,,,,,
F,7287,7790,7931,7551,6862,7143,7130,6811,6573,25608,1189,,,,,,,,,,,,,
G,7625,7572,7871,7169,7342,6776,6600,6544,6836,25756,1271,,,,,,,,,,,,,
H,7623,7518,7379,7419,6974,6872,6738,6487,6679,25717,1319,,,,,,,,,,,,,
I,6800,7545,6834,6589,5900,6459,6148,6660,6590,25755,1243,,,,,,,,,,,,,
J,7342,7438,7520,7648,7271,7187,7148,7090,7017,25865,1295,,,,,,,,,,,,,
K,7332,7534,7772,7770,7337,7087,7284,6931,7150,26187,1247,,,,,,,,,,,,,
